1. Mose 1:1|Am Anfang schuf Gott Himmel und Erde.
Haggai 2:4|So sei nun getrost und arbeite! spricht der HERR. Denn ich bin mit euch, spricht der HERR Zebaoth.
Sacharja 4:6|Nicht durch Heer oder Kraft, sondern durch meinen Geist soll es geschehen, spricht der HERR Zebaoth.
Maleachi 3:10|Bringet aber die Zehnten in voller Höhe in mein Vorratshaus, auf daß in meinem Hause Speise sei, und prüfet mich hiermit, spricht der HERR Zebaoth, ob ich euch dann nicht des Himmels Fenster auftun werde und Segen herabschütten die Fülle.
Matthäus 4:4|Er aber antwortete und sprach: Es steht geschrieben: Der Mensch lebt nicht vom Brot allein, sondern von einem jeglichen Wort, das durch den Mund Gottes geht.
Matthäus 5:3|Selig sind, die da geistlich arm sind; denn ihrer ist das Himmelreich.
Matthäus 5:4|Selig sind, die da Leid tragen; denn sie sollen getröstet werden.
Matthäus 5:5|Selig sind die Sanftmütigen; denn sie werden das Erdreich besitzen.
Matthäus 5:6|Selig sind, die da hungert und dürstet nach der Gerechtigkeit; denn sie sollen satt werden.
Matthäus 5:7|Selig sind die Barmherzigen; denn sie werden Barmherzigkeit erlangen.
Matthäus 5:8|Selig sind, die reines Herzens sind; denn sie werden Gott schauen.
Matthäus 5:9|Selig sind die Friedfertigen; denn sie werden Gottes Kinder heißen.
Matthäus 5:13|Ihr seid das Salz der Erde. Wenn nun das Salz nicht mehr salzt, womit soll man salzen?
Matthäus 5:14|Ihr seid das Licht der Welt. Es kann die Stadt, die auf einem Berge liegt, nicht verborgen sein.
Matthäus 5:16|So laßt euer Licht leuchten vor den Leuten, damit sie eure guten Werke sehen und euren Vater im Himmel preisen.
Matthäus 5:44|Ich aber sage euch: Liebet eure Feinde und bittet für die, die euch verfolgen.
Matthäus 6:6|Wenn du aber betest, so geh in dein Kämmerlein und schließ die Tür zu und bete zu deinem Vater, der im Verborgenen ist; und dein Vater, der in das Verborgene sieht, wird dir's vergelten.
Matthäus 6:9|Unser Vater im Himmel! Dein Name werde geheiligt.
Matthäus 6:11|Unser tägliches Brot gib uns heute.
Matthäus 6:12|Und vergib uns unsere Schuld, wie auch wir vergeben unsern Schuldigern.
Matthäus 6:21|Denn wo dein Schatz ist, da ist auch dein Herz.
Matthäus 6:33|Trachtet zuerst nach dem Reich Gottes und nach seiner Gerechtigkeit, so wird euch solches alles zufallen.
Matthäus 6:34|Darum sorgt nicht für morgen, denn der morgige Tag wird für das Seine sorgen. Es ist genug, daß ein jeglicher Tag seine eigene Plage habe.
Matthäus 7:6|Ihr sollt das Heilige nicht den Hunden geben, und eure Perlen sollt ihr nicht vor die Säue werfen, damit die sie nicht zertreten mit ihren Füßen und sich umwenden und euch zerreißen.
Matthäus 7:7|Bittet, so wird euch gegeben; suchet, so werdet ihr finden; klopfet an, so wird euch aufgetan.
Matthäus 7:12|Alles nun, was ihr wollt, daß euch die Leute tun sollen, das tut ihr ihnen auch! Das ist das Gesetz und die Propheten.
Matthäus 9:37|Da sprach er zu seinen Jüngern: Die Ernte ist groß, aber wenige sind der Arbeiter.
Matthäus 10:28|Und fürchtet euch nicht vor denen, die den Leib töten, doch die Seele nicht töten können; fürchtet viel mehr den, der Leib und Seele verderben kann in der Hölle.
Matthäus 11:28|Kommet her zu mir, alle, die ihr mühselig und beladen seid; ich will euch erquicken.
Matthäus 11:29|Nehmet auf euch mein Joch und lernet von mir; denn ich bin sanftmütig und von Herzen demütig; so werdet ihr Ruhe finden für eure Seelen.
Matthäus 16:24|Da sprach Jesus zu seinen Jüngern: Will mir jemand nachfolgen, der verleugne sich selbst und nehme sein Kreuz auf sich und folge mir.
Matthäus 19:26|Jesus aber sah sie an und sprach zu ihnen: Bei den Menschen ist's unmöglich; aber bei Gott sind alle Dinge möglich.
Matthäus 22:37|Du sollst den Herrn, deinen Gott, lieben von ganzem Herzen, von ganzer Seele und von ganzem Gemüt.
Matthäus 22:39|Das andre aber ist dem gleich: Du sollst deinen Nächsten lieben wie dich selbst.
Matthäus 28:18|Und Jesus trat zu ihnen, redete mit ihnen und sprach: Mir ist gegeben alle Gewalt im Himmel und auf Erden.
Matthäus 28:19|Darum gehet hin und machet zu Jüngern alle Völker: Taufet sie auf den Namen des Vaters und des Sohnes und des heiligen Geistes.
Matthäus 28:20|Und siehe, ich bin bei euch alle Tage bis an der Welt Ende.
Markus 1:15|Die Zeit ist erfüllet, und das Reich Gottes ist herbeigekommen. Tut Buße und glaubt an das Evangelium!
Markus 9:23|Jesus aber sprach zu ihm: Du sagst: Wenn du kannst! Alle Dinge sind möglich dem, der da glaubt.
Markus 10:27|Jesus aber sah sie an und sprach: Bei den Menschen ist's unmöglich, aber nicht bei Gott; denn alle Dinge sind möglich bei Gott.
Markus 11:24|Darum sage ich euch: Alles, was ihr bittet in eurem Gebet, glaubet nur, daß ihr's empfangen werdet, so wird's euch werden.
Markus 12:30|Und du sollst Gott, deinen Herrn, lieben von ganzem Herzen, von ganzer Seele, von ganzem Gemüte und von allen deinen Kräften.
Lukas 1:37|Denn bei Gott ist kein Ding unmöglich.
Lukas 6:31|Und wie ihr wollt, daß euch die Leute tun sollen, so tut ihnen auch!
Lukas 6:38|Gebt, so wird euch gegeben. Ein volles, gedrücktes, gerütteltes und überfließendes Maß wird man in euren Schoß geben; denn eben mit dem Maß, mit dem ihr messet, wird man euch wieder messen.
Lukas 11:9|Und ich sage euch auch: Bittet, so wird euch gegeben; suchet, so werdet ihr finden; klopfet an, so wird euch aufgetan.
Lukas 12:7|Aber auch die Haare auf eurem Haupte sind alle gezählt. Darum fürchtet euch nicht; ihr seid besser als viele Sperlinge.
Lukas 12:34|Denn wo euer Schatz ist, da wird auch euer Herz sein.
Lukas 18:27|Er aber sprach: Was bei den Menschen unmöglich ist, das ist bei Gott möglich.
Johannes 1:1|Im Anfang war das Wort, und das Wort war bei Gott, und Gott war das Wort.
Johannes 1:12|Wie viele ihn aber aufnahmen, denen gab er Macht, Gottes Kinder zu werden, die an seinen Namen glauben.
Johannes 1:14|Und das Wort ward Fleisch und wohnte unter uns, und wir sahen seine Herrlichkeit, eine Herrlichkeit als des eingeborenen Sohnes vom Vater, voller Gnade und Wahrheit.
Johannes 3:3|Jesus antwortete und sprach zu ihm: Wahrlich, wahrlich, ich sage dir: Es sei denn, daß jemand von neuem geboren werde, so kann er das Reich Gottes nicht sehen.
Johannes 3:16|Denn also hat Gott die Welt geliebt, daß er seinen eingeborenen Sohn gab, damit alle, die an ihn glauben, nicht verloren werden, sondern das ewige Leben haben.
Johannes 3:17|Denn Gott hat seinen Sohn nicht gesandt in die Welt, daß er die Welt richte, sondern daß die Welt durch ihn selig werde.
Johannes 4:24|Gott ist Geist, und die ihn anbeten, die müssen ihn im Geist und in der Wahrheit anbeten.
Johannes 6:35|Jesus aber sprach zu ihnen: Ich bin das Brot des Lebens. Wer zu mir kommt, den wird nicht hungern; und wer an mich glaubt, den wird nimmermehr dürsten.
Johannes 8:12|Da redete Jesus abermals zu ihnen und sprach: Ich bin das Licht der Welt. Wer mir nachfolgt, der wird nicht wandeln in der Finsternis, sondern wird das Licht des Lebens haben.
Johannes 8:32|Und werdet die Wahrheit erkennen, und die Wahrheit wird euch frei machen.
Johannes 8:36|Wenn euch nun der Sohn frei macht, so seid ihr recht frei.
Johannes 10:10|Ich bin gekommen, daß sie das Leben und volle Genüge haben sollen.
Johannes 10:11|Ich bin der gute Hirte. Der gute Hirte läßt sein Leben für die Schafe.
Johannes 11:25|Jesus spricht zu ihr: Ich bin die Auferstehung und das Leben. Wer an mich glaubt, der wird leben, auch wenn er stirbt.
Johannes 13:34|Ein neu Gebot gebe ich euch, daß ihr euch untereinander liebet, wie ich euch geliebt habe, damit auch ihr einander liebhabet.
Johannes 13:35|Daran wird jedermann erkennen, daß ihr meine Jünger seid, wenn ihr Liebe untereinander habt.
Johannes 14:1|Euer Herz erschrecke nicht! Glaubet an Gott und glaubet an mich!
Johannes 14:2|In meines Vaters Hause sind viele Wohnungen. Wenn's nicht so wäre, hätte ich dann zu euch gesagt: Ich gehe hin, euch die Stätte zu bereiten?
Johannes 14:6|Jesus spricht zu ihm: Ich bin der Weg und die Wahrheit und das Leben; niemand kommt zum Vater denn durch mich.
Johannes 14:27|Den Frieden lasse ich euch, meinen Frieden gebe ich euch. Nicht gebe ich euch, wie die Welt gibt. Euer Herz erschrecke nicht und fürchte sich nicht.
Johannes 15:5|Ich bin der Weinstock, ihr seid die Reben. Wer in mir bleibt und ich in ihm, der bringt viel Frucht; denn ohne mich könnt ihr nichts tun.
Johannes 15:12|Das ist mein Gebot, daß ihr euch untereinander liebt, wie ich euch liebe.
Johannes 15:13|Niemand hat größere Liebe denn die, daß er sein Leben läßt für seine Freunde.
Johannes 16:33|Solches habe ich mit euch geredet, damit ihr in mir Frieden habt. In der Welt habt ihr Angst; aber seid getrost, ich habe die Welt überwunden.
Apostelgeschichte 1:8|Aber ihr werdet die Kraft des Heiligen Geistes empfangen, der auf euch kommen wird, und werdet meine Zeugen sein.
Apostelgeschichte 2:21|Und soll geschehen, wer des Herrn Namen anrufen wird, der soll selig werden.
Apostelgeschichte 4:12|Und ist in keinem andern Heil, auch ist kein andrer Name unter dem Himmel den Menschen gegeben, darin wir sollen selig werden.
Apostelgeschichte 16:31|Sie sprachen: Glaube an den Herrn Jesus, so wirst du und dein Haus selig!
Apostelgeschichte 17:28|Denn in ihm leben, weben und sind wir.
Römer 1:16|Denn ich schäme mich des Evangeliums nicht; denn es ist eine Kraft Gottes, die selig macht alle, die daran glauben.
Römer 3:23|Sie sind allesamt Sünder und ermangeln des Ruhmes, den sie bei Gott haben sollten.
Römer 3:24|Und werden ohne Verdienst gerecht aus seiner Gnade durch die Erlösung, die durch Christus Jesus geschehen ist.
Römer 5:8|Gott aber erweist seine Liebe zu uns darin, daß Christus für uns gestorben ist, als wir noch Sünder waren.
Römer 6:23|Denn der Sünde Sold ist der Tod; die Gabe Gottes aber ist das ewige Leben in Christus Jesus, unserm Herrn.
Römer 8:1|So gibt es nun keine Verdammnis für die, die in Christus Jesus sind.
Römer 8:18|Denn ich bin überzeugt, daß dieser Zeit Leiden nicht ins Gewicht fallen gegenüber der Herrlichkeit, die an uns offenbart werden soll.
Römer 8:28|Wir wissen aber, daß denen, die Gott lieben, alle Dinge zum Besten dienen, denen, die nach seinem Ratschluß berufen sind.
Römer 8:31|Ist Gott für uns, wer kann wider uns sein?
Römer 8:37|Aber in dem allen überwinden wir weit durch den, der uns geliebt hat.
Römer 8:38|Denn ich bin gewiß, daß weder Tod noch Leben, weder Engel noch Mächte noch Gewalten, weder Gegenwärtiges noch Zukünftiges.
Römer 8:39|Weder Hohes noch Tiefes noch eine andere Kreatur uns scheiden kann von der Liebe Gottes, die in Christus Jesus ist, unserm Herrn.
Römer 10:9|Denn wenn du mit deinem Munde bekennst, daß Jesus der Herr ist, und in deinem Herzen glaubst, daß ihn Gott von den Toten auferweckt hat, so wirst du selig.
Römer 10:13|Denn wer des Herrn Namen anrufen wird, soll selig werden.
Römer 12:1|Ich ermahne euch nun, liebe Brüder, durch die Barmherzigkeit Gottes, daß ihr eure Leiber begebet zum Opfer, das da lebendig, heilig und Gott wohlgefällig sei, welches sei euer vernünftiger Gottesdienst.
Römer 12:2|Und stellt euch nicht dieser Welt gleich, sondern ändert euch durch Erneuerung eures Sinnes, damit ihr prüfen könnt, was Gottes Wille ist, nämlich das Gute und Wohlgefällige und Vollkommene.
Römer 12:12|Seid fröhlich in Hoffnung, geduldig in Trübsal, beharrlich im Gebet.
Römer 15:13|Der Gott der Hoffnung aber erfülle euch mit aller Freude und Frieden im Glauben, daß ihr immer reicher werdet an Hoffnung durch die Kraft des heiligen Geistes.
1. Korinther 1:18|Denn das Wort vom Kreuz ist eine Torheit denen, die verloren werden; uns aber, die wir selig werden, ist's eine Gotteskraft.
1. Korinther 2:9|Sondern wie geschrieben steht: Was kein Auge gesehen hat und kein Ohr gehört hat und in keines Menschen Herz gekommen ist, was Gott bereitet hat denen, die ihn lieben.
1. Korinther 10:13|Gott ist treu, der euch nicht versuchen läßt über eure Kraft, sondern macht, daß die Versuchung so ein Ende nimmt, daß ihr's ertragen könnt.
1. Korinther 13:4|Die Liebe ist langmütig und freundlich, die Liebe eifert nicht, die Liebe treibt nicht Mutwillen, sie bläht sich nicht auf.
1. Korinther 13:7|Sie erträgt alles, sie glaubet alles, sie hoffet alles, sie duldet alles.
1. Korinther 13:8|Die Liebe höret nimmer auf, wo doch das prophetische Reden aufhören wird und das Zungenreden aufhören wird und die Erkenntnis aufhören wird.
1. Korinther 13:13|Nun aber bleiben Glaube, Hoffnung, Liebe, diese drei; aber die Liebe ist die größte unter ihnen.
1. Korinther 15:57|Gott aber sei Dank, der uns den Sieg gegeben hat durch unsern Herrn Jesus Christus!
1. Korinther 16:13|Wachet, steht im Glauben, seid männlich und seid stark!
2. Korinther 1:3|Gelobt sei Gott, der Vater unsers Herrn Jesus Christus, der Vater der Barmherzigkeit und Gott alles Trostes.
2. Korinther 4:16|Darum werden wir nicht müde; sondern wenn auch unser äußerlicher Mensch verdirbt, so wird doch der innerliche von Tag zu Tag erneuert.
2. Korinther 5:7|Denn wir wandeln im Glauben und nicht im Schauen.
2. Korinther 5:17|Darum: Ist jemand in Christus, so ist er eine neue Kreatur; das Alte ist vergangen, siehe, Neues ist geworden.
2. Korinther 9:7|Ein jeglicher, wie er's sich im Herzen vorgenommen hat, nicht mit Unwillen oder aus Zwang; denn einen fröhlichen Geber hat Gott lieb.
2. Korinther 12:9|Und er hat zu mir gesagt: Laß dir an meiner Gnade genügen; denn meine Kraft ist in den Schwachen mächtig.
Galater 2:20|Ich lebe, doch nun nicht ich, sondern Christus lebt in mir. Denn was ich jetzt lebe im Fleisch, das lebe ich im Glauben an den Sohn Gottes, der mich geliebt hat und sich selbst für mich dargegeben.
Galater 5:1|So besteht nun in der Freiheit, zu der uns Christus befreit hat, und laßt euch nicht wiederum das Joch der Knechtschaft auflegen.
Galater 5:22|Die Frucht aber des Geistes ist Liebe, Freude, Friede, Geduld, Freundlichkeit, Güte, Treue, Sanftmut, Keuschheit.
Galater 6:2|Einer trage des andern Last, so werdet ihr das Gesetz Christi erfüllen.
Galater 6:9|Laßt uns aber Gutes tun und nicht müde werden; denn zu seiner Zeit werden wir auch ernten, wenn wir nicht nachlassen.
Epheser 2:8|Denn aus Gnade seid ihr selig geworden durch Glauben, und das nicht aus euch: Gottes Gabe ist es.
Epheser 2:10|Denn wir sind sein Werk, geschaffen in Christus Jesus zu guten Werken, zu welchen Gott uns zuvor bereitet hat, daß wir darin wandeln sollen.
Epheser 3:20|Dem aber, der überschwenglich tun kann über alles aus, das wir bitten oder verstehen, nach der Kraft, die da in uns wirket.
Epheser 4:2|Mit aller Demut und Sanftmut, mit Geduld. Ertraget einer den andern in der Liebe.
Epheser 4:32|Seid aber untereinander freundlich und herzlich und vergebet einer dem andern, wie auch Gott euch vergeben hat in Christus.
Epheser 5:1|So folgt nun Gottes Beispiel als die geliebten Kinder.
Epheser 5:2|Und lebt in der Liebe, wie auch Christus uns geliebt hat und hat sich selbst für uns gegeben.
Epheser 6:10|Zuletzt: Seid stark in dem Herrn und in der Macht seiner Stärke.
Epheser 6:11|Ziehet an die Waffenrüstung Gottes, damit ihr bestehen könnt gegen die listigen Anläufe des Teufels.
Philipper 1:6|Und ich bin derselbigen in guter Zuversicht, daß, der in euch angefangen hat das gute Werk, der wird's auch vollführen bis an den Tag Christi Jesu.
Philipper 2:3|Nichts geschehe aus Eigennutz oder um eitler Ehre willen, sondern in Demut achte einer den andern höher als sich selbst.
Philipper 2:5|Ein jeglicher sei gesinnt, wie Jesus Christus auch war.
Philipper 3:13|Meine Brüder, ich schätze mich selbst noch nicht so ein, daß ich's ergriffen habe. Eines aber sage ich: Ich vergesse, was dahinten ist, und strecke mich aus nach dem, was da vorne ist.
Philipper 4:4|Freuet euch in dem Herrn allewege, und abermals sage ich: Freuet euch!
Philipper 4:6|Sorgt euch um nichts, sondern in allen Dingen laßt eure Bitten in Gebet und Flehen mit Danksagung vor Gott kundwerden!
Philipper 4:7|Und der Friede Gottes, welcher höher ist als alle Vernunft, bewahre eure Herzen und Sinne in Christus Jesus.
Philipper 4:8|Weiter, liebe Brüder: Was wahrhaftig ist, was ehrbar, was gerecht, was rein, was liebenswert, was einen guten Ruf hat, sei es eine Tugend, sei es ein Lob - darauf seid bedacht!
Philipper 4:13|Ich vermag alles durch den, der mich mächtig macht.
Philipper 4:19|Mein Gott aber wird all eurem Mangel abhelfen nach seinem Reichtum in Herrlichkeit in Christus Jesus.
Kolosser 1:17|Und er ist vor allem, und es besteht alles in ihm.
Kolosser 3:2|Trachtet nach dem, was droben ist, nicht nach dem, was auf Erden ist.
Kolosser 3:12|So zieht nun an als die Auserwählten Gottes, als die Heiligen und Geliebten, herzliches Erbarmen, Freundlichkeit, Demut, Sanftmut, Geduld.
Kolosser 3:13|Und ertrage einer den andern und vergebet euch untereinander, wenn jemand Klage hat gegen den andern; wie der Herr euch vergeben hat, so vergebet auch ihr!
Kolosser 3:15|Und der Friede Christi, zu dem ihr auch berufen seid in einem Leibe, regiere in euren Herzen; und seid dankbar.
Kolosser 3:17|Und alles, was ihr tut mit Worten oder mit Werken, das tut alles im Namen des Herrn Jesus und danket Gott, dem Vater, durch ihn.
Kolosser 3:23|Alles, was ihr tut, das tut von Herzen als dem Herrn und nicht den Menschen.
1. Thessalonicher 5:11|Darum ermahnet euch untereinander und bauet einer den andern auf, wie ihr auch tut.
1. Thessalonicher 5:16|Seid allezeit fröhlich.
1. Thessalonicher 5:17|Betet ohne Unterlaß.
1. Thessalonicher 5:18|Seid dankbar in allen Dingen; denn das ist der Wille Gottes in Christus Jesus an euch.
2. Thessalonicher 3:3|Aber der Herr ist treu; der wird euch stärken und bewahren vor dem Bösen.
1. Timotheus 4:12|Niemand verachte dich um deiner Jugend willen; sondern sei den Gläubigen ein Vorbild im Wort, im Wandel, in der Liebe, im Glauben, in der Reinheit.
1. Timotheus 6:6|Es ist aber ein großer Gewinn, wer gottselig ist und lässet sich genügen.
2. Timotheus 1:7|Denn Gott hat uns nicht gegeben den Geist der Furcht, sondern der Kraft und der Liebe und der Besonnenheit.
2. Timotheus 2:15|Befleißige dich, Gott zu erzeigen einen rechtschaffenen und unsträflichen Arbeiter, der da recht teile das Wort der Wahrheit.
2. Timotheus 3:16|Denn alle Schrift, von Gott eingegeben, ist nütze zur Lehre, zur Zurechtweisung, zur Besserung, zur Erziehung in der Gerechtigkeit.
Titus 3:5|Machte er uns selig - nicht um der Werke der Gerechtigkeit willen, die wir getan hatten, sondern nach seiner Barmherzigkeit.
Hebräer 4:12|Denn das Wort Gottes ist lebendig und kräftig und schärfer als jedes zweischneidige Schwert.
Hebräer 4:16|Darum laßt uns hinzutreten mit Zuversicht zu dem Thron der Gnade, damit wir Barmherzigkeit empfangen und Gnade finden zu der Zeit, wenn wir Hilfe nötig haben.
Hebräer 10:23|Laßt uns halten an dem Bekenntnis der Hoffnung und nicht wanken; denn er ist treu, der sie verheißen hat.
Hebräer 11:1|Es ist aber der Glaube eine feste Zuversicht auf das, was man hofft, und ein Nichtzweifeln an dem, was man nicht sieht.
Hebräer 11:6|Aber ohne Glauben ist's unmöglich, Gott zu gefallen; denn wer zu Gott kommen will, der muß glauben, daß er sei und denen, die ihn suchen, ein Vergelter sein werde.
Hebräer 12:1|Darum auch wir: Weil wir eine solche Wolke von Zeugen um uns haben, laßt uns ablegen die Sünde, die uns ständig umstrickt, und laßt uns laufen mit Geduld in dem Kampf, der uns bestimmt ist.
Hebräer 12:2|Und aufsehen zu Jesus, dem Anfänger und Vollender des Glaubens.
Hebräer 13:5|Seid nicht geldgierig, und laßt euch genügen an dem, was da ist. Denn er hat gesagt: Ich will dich nicht verlassen und nicht von dir weichen.
Hebräer 13:8|Jesus Christus gestern und heute und derselbe auch in Ewigkeit.
Jakobus 1:2|Meine lieben Brüder, achtet es für eitel Freude, wenn ihr in mancherlei Anfechtungen fallet.
Jakobus 1:5|Wenn es aber jemandem unter euch an Weisheit mangelt, so bitte er Gott, der jedermann gern gibt und niemanden schilt; so wird sie ihm gegeben werden.
Jakobus 1:12|Selig ist der Mann, der die Anfechtung erduldet; denn nachdem er bewährt ist, wird er die Krone des Lebens empfangen.
Jakobus 1:17|Alle gute Gabe und alle vollkommene Gabe kommt von oben herab, von dem Vater des Lichts.
Jakobus 1:22|Seid aber Täter des Worts und nicht Hörer allein; sonst betrügt ihr euch selbst.
Jakobus 4:7|So seid nun Gott untertan. Widersteht dem Teufel, so flieht er von euch.
Jakobus 4:8|Naht euch zu Gott, so naht er sich zu euch.
Jakobus 5:16|Bekenn einer dem andern seine Sünden und betet füreinander, daß ihr gesund werdet. Des Gerechten Gebet vermag viel, wenn es ernstlich ist.
1. Petrus 1:3|Gelobt sei Gott, der Vater unsers Herrn Jesus Christus, der uns nach seiner großen Barmherzigkeit wiedergeboren hat zu einer lebendigen Hoffnung durch die Auferstehung Jesu Christi von den Toten.
1. Petrus 2:9|Ihr aber seid das auserwählte Geschlecht, die königliche Priesterschaft, das heilige Volk, das Volk des Eigentums, daß ihr verkündigen sollt die Wohltaten dessen, der euch berufen hat von der Finsternis zu seinem wunderbaren Licht.
1. Petrus 3:15|Heiligt aber den Herrn Christus in euren Herzen. Seid allezeit bereit zur Verantwortung vor jedermann, der von euch Rechenschaft fordert über die Hoffnung, die in euch ist.
1. Petrus 4:8|Vor allen Dingen habt untereinander beständige Liebe; denn die Liebe deckt auch der Sünden Menge.
1. Petrus 5:6|So demütigt euch nun unter die gewaltige Hand Gottes, damit er euch erhöhe zu seiner Zeit.
1. Petrus 5:7|Alle eure Sorge werfet auf ihn; denn er sorgt für euch.
2. Petrus 1:3|Alles, was zum Leben und zur Frömmigkeit dient, hat uns seine göttliche Kraft geschenkt durch die Erkenntnis dessen, der uns berufen hat durch seine Herrlichkeit und Kraft.
2. Petrus 3:9|Der Herr verzögert nicht die Verheißung, wie es einige für eine Verzögerung halten; sondern er hat Geduld mit euch und will nicht, daß jemand verloren werde, sondern daß jedermann zur Buße finde.
1. Johannes 1:7|Wenn wir aber im Licht wandeln, wie er im Licht ist, so haben wir Gemeinschaft untereinander, und das Blut Jesu, seines Sohnes, macht uns rein von aller Sünde.
1. Johannes 1:9|Wenn wir aber unsre Sünden bekennen, so ist er treu und gerecht, daß er uns die Sünden vergibt und reinigt uns von aller Ungerechtigkeit.
1. Johannes 3:1|Sehet, welch eine Liebe hat uns der Vater erzeiget, daß wir Gottes Kinder sollen heißen! Darum kennt euch die Welt nicht; denn sie kennt ihn nicht.
1. Johannes 3:18|Meine Kindlein, laßt uns nicht lieben mit Worten noch mit der Zunge, sondern mit der Tat und mit der Wahrheit.
1. Johannes 4:4|Kindlein, ihr seid von Gott und habt jene überwunden; denn der in euch ist, ist größer als der, der in der Welt ist.
1. Johannes 4:7|Ihr Lieben, laßt uns untereinander liebhaben; denn die Liebe ist von Gott, und wer liebt, der ist von Gott geboren und kennt Gott.
1. Johannes 4:8|Wer nicht liebt, der kennt Gott nicht; denn Gott ist die Liebe.
1. Johannes 4:18|Furcht ist nicht in der Liebe, sondern die vollkommene Liebe treibt die Furcht aus.
1. Johannes 4:19|Lasset uns lieben, denn er hat uns zuerst geliebt.
1. Johannes 5:4|Denn alles, was von Gott geboren ist, überwindet die Welt; und unser Glaube ist der Sieg, der die Welt überwunden hat.
3. Johannes 1:2|Mein Lieber, ich wünsche, daß es dir in allen Stücken wohlgehe und du gesund seist, wie es denn deiner Seele wohlgeht.
Judas 1:24|Dem aber, der euch kann behüten ohne Fehl und stellen vor das Angesicht seiner Herrlichkeit unsträflich mit Freuden.
Offenbarung 1:8|Ich bin das A und das O, spricht Gott der Herr, der da ist und der da war und der da kommt, der Allmächtige.
Offenbarung 3:20|Siehe, ich stehe vor der Tür und klopfe an. Wenn jemand meine Stimme hören wird und die Tür auftun, zu dem werde ich eingehen und das Abendmahl mit ihm halten und er mit mir.
Offenbarung 21:4|Und Gott wird abwischen alle Tränen von ihren Augen, und der Tod wird nicht mehr sein, noch Leid noch Geschrei noch Schmerz wird mehr sein; denn das Erste ist vergangen.
Offenbarung 21:5|Und der auf dem Thron saß, sprach: Siehe, ich mache alles neu!
Offenbarung 22:13|Ich bin das A und das O, der Erste und der Letzte, der Anfang und das Ende.
Psalm 1:1|Wohl dem, der nicht wandelt im Rat der Gottlosen noch tritt auf den Weg der Sünder noch sitzt, wo die Spötter sitzen.
Psalm 1:2|Sondern hat Lust am Gesetz des HERRN und sinnt über seinem Gesetz Tag und Nacht!
Psalm 1:3|Der ist wie ein Baum, gepflanzt an den Wasserbächen, der seine Frucht bringt zu seiner Zeit, und seine Blätter verwelken nicht.
Psalm 2:11|Dienet dem HERRN mit Furcht und freuet euch mit Zittern!
Psalm 4:9|Ich liege und schlafe ganz mit Frieden; denn allein du, HERR, hilfst mir, daß ich sicher wohne.
Psalm 5:3|HERR, höre meine Worte, merke auf mein Seufzen!
Psalm 8:2|HERR, unser Herrscher, wie herrlich ist dein Name in allen Landen, der du zeigst deine Hoheit am Himmel!
Psalm 9:10|Der HERR ist eine feste Burg den Zerschlagenen, eine feste Burg zur Zeit der Not.
Psalm 16:8|Ich habe den HERRN allezeit vor Augen; er steht mir zur Rechten, so wanke ich nicht.
Psalm 16:11|Du tust mir kund den Weg zum Leben: Vor dir ist Freude die Fülle und Wonne zu deiner Rechten ewiglich.
Psalm 17:8|Behüte mich wie einen Augapfel im Auge, beschirme mich unter dem Schatten deiner Flügel.
Psalm 18:3|HERR, mein Fels, meine Burg, mein Erretter; mein Gott, mein Hort, auf den ich traue.
Psalm 18:30|Mit meinem Gott kann ich über Mauern springen.
Psalm 19:2|Die Himmel erzählen die Ehre Gottes, und die Feste verkündigt seiner Hände Werk.
Psalm 19:8|Das Gesetz des HERRN ist vollkommen und erquickt die Seele.
Psalm 19:15|Laß dir wohlgefallen die Rede meines Mundes und das Gespräch meines Herzens vor dir, HERR, mein Fels und mein Erlöser.
Psalm 20:8|Jene verlassen sich auf Wagen und Rosse; wir aber denken an den Namen des HERRN, unsres Gottes.
Psalm 22:2|Mein Gott, mein Gott, warum hast du mich verlassen?
Psalm 22:6|Ich aber bin ein Wurm und kein Mensch, ein Spott der Leute und verachtet vom Volk.
Psalm 24:1|Die Erde ist des HERRN und was darinnen ist, der Erdkreis und die darauf wohnen.
Psalm 25:4|HERR, zeige mir deine Wege und lehre mich deine Steige!
Psalm 25:5|Leite mich in deiner Wahrheit und lehre mich!
Psalm 27:1|Der HERR ist mein Licht und mein Heil; vor wem sollte ich mich fürchten?
Psalm 27:4|Eins bitte ich vom HERRN, das hätte ich gerne: daß ich im Hause des HERRN bleiben könne mein Leben lang.
Psalm 27:14|Harre des HERRN! Sei getrost und unverzagt und harre des HERRN!
Psalm 28:7|Der HERR ist meine Stärke und mein Schild; auf ihn hofft mein Herz.
Psalm 30:6|Denn sein Zorn währet einen Augenblick, und lebenslang seine Gnade.
Psalm 31:6|In deine Hände befehle ich meinen Geist; du hast mich erlöst, HERR, du treuer Gott.
Psalm 31:15|Meine Zeit steht in deinen Händen.
Psalm 31:25|Seid getrost und unverzagt alle, die ihr des HERRN harret!
Psalm 32:1|Wohl dem, dem die Übertretungen vergeben sind, dem die Sünde bedeckt ist!
Psalm 32:8|Ich will dich unterweisen und dir den Weg zeigen, den du gehen sollst.
Psalm 33:4|Denn des HERRN Wort ist wahrhaftig, und was er zusagt, das hält er gewiß.
Psalm 33:18|Siehe, des HERRN Auge achtet auf alle, die ihn fürchten, die auf seine Güte hoffen.
Psalm 34:5|Als ich den HERRN suchte, antwortete er mir und errettete mich aus aller meiner Furcht.
